Name of Employee,Hire Date,Salary,Paid leaves Remaining,Sick Leaves Remaining,Address of Employee,Due Working Hours,Performance Score
Blake,3/15/2014,50000,10,6,4150 Sydney Place Washington DC 20521-4150,70,9
Clark,5/12/2014,45000,10,3,3290 Hermosillo Place Newyork 35201-0288,55,8
Jones,11/1/2013,70000,3,10,799 E DRAGRAM SUITE 5A TUCSON AZ 85705,78,9
Martin,8/12/2014,48000,7,7,300 BOYLSTON AVE E SEATTLE WA 98102,60,6
Allen,5/23/2013,66000,8,9,11080 CIRCLE POINT RD STE 180 WESTMINSTER,40,4
Ward,1/1/2010,50000,5,1,112 WEST 17TH ST PO BOX 7  FALLS CITY NE  68355 2640,70,10
Ford,5/6/2009,75000,7,0,4343 E HIGHWAY 30 KIMBALL NE 69145 2076,80,10
Scott,12/25/2010,65000,6,4,Minnetonka MN  55305,85,8
Adams,7/26/2008,100000,10,3,5420 E 108TH ST TULSA OK  74137 7219,90,7
Miller,1/16/2008,80000,2,6,ST JACOB IL 62281,100,2
